year,rank,song,artist,cleaned_artist,uri,key,duration,bpm,energy,danceability,valence,acousticness,loudness,genres
2024,1,Lose Control,Teddy Swims,Teddy Swims,https://open.spotify.com/track/17phhZDn6oGtzMe56NuWvj,A Major,3:31,160,60,56,24,20,-4 dB,No genre found
2024,2,A Bar Song (Tipsy),Shaboozey,Shaboozey,https://open.spotify.com/track/2FQrifJ1N335Ljm3TjTVVf,A Major,2:51,81,71,72,60,6,-5 dB,modern country pop; pop rap
2024,3,Beautiful Things,Benson Boone,Benson Boone,https://open.spotify.com/track/3xkHsmpQCBMytMJNiDf3Ii,B_ Major,3:00,105,47,47,22,15,-6 dB,singer-songwriter pop
2024,4,I Had Some Help,Post Malone featuring Morgan Wallen,"Post Malone, Morgan Wallen",https://open.spotify.com/track/5IZXB5IKAD2qlvTPJYDCFB,C Major,2:58,128,87,64,75,1,-5 dB,dfw rap; melodic rap; pop; rap; contemporary country
2024,5,Lovin on Me,Jack Harlow,Jack Harlow,https://open.spotify.com/track/4xhsWYTOGcal8zt0J161CU,D Major,2:18,105,56,94,61,0,-5 dB,deep underground hip hop; hip hop; kentucky hip hop; pop rap; rap
2024,6,Not Like Us,Kendrick Lamar,Kendrick Lamar,https://open.spotify.com/track/6AI3ezQ4o3HUoP6Dhudph3,C# Major,4:34,101,47,90,21,1,-7 dB,conscious hip hop; hip hop; rap; west coast rap
2024,7,Espresso,Sabrina Carpenter,Sabrina Carpenter,https://open.spotify.com/track/2HRqTpkrJO5ggZyyK6NPWz,C Major,2:55,104,78,70,71,13,-5 dB,pop
2024,8,Million Dollar Baby,Tommy Richman,Tommy Richman,https://open.spotify.com/track/5AJ9hqTS2wcFQCELCFRO7A,C# Minor,2:35,138,70,85,92,10,-6 dB,chill abstract hip hop
2024,9,I Remember Everything,Zach Bryan featuring Kacey Musgraves,"Zach Bryan, Kacey Musgraves",https://open.spotify.com/track/4KULAymBBJcPRpk1yO4dOG,C Major,3:47,78,45,43,16,55,-8 dB,classic oklahoma country; classic texas country; contemporary country; country dawn
2024,10,Too Sweet,Hozier,Hozier,https://open.spotify.com/track/76JKIsdKrAfWUMjaA0u7v5,B_ Major,4:11,117,62,74,93,3,-6 dB,irish singer-songwriter; modern rock; pop; pov: indie
2024,11,Stick Season,Noah Kahan,Noah Kahan,https://open.spotify.com/track/0mflMxspEfB0VbI1kyLiAv,A Major,3:02,118,50,66,80,80,-7 dB,pov: indie; singer-songwriter pop
2024,12,Cruel Summer,Taylor Swift,Taylor Swift,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr,A Major,2:58,170,70,55,56,12,-6 dB,pop
2024,13,Greedy,Tate McRae,Tate McRae,https://open.spotify.com/track/3rUGC1vUpkDG9CZFHMur1t,F# Minor,2:12,111,73,75,82,26,-3 dB,pop
2024,14,Like That,"Future, Metro Boomin and Kendrick Lamar","Future, Metro Boomin, Kendrick Lamar",https://open.spotify.com/track/2tudvzsrR56uom6smgOcSf,B Minor,4:28,162,68,81,31,1,-5 dB,atl hip hop; hip hop; rap; southern hip hop; trap; rap; conscious hip hop; hip hop; rap; west coast rap
2024,15,Birds of a Feather,Billie Eilish,Billie Eilish,https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB,D Major,3:30,105,51,75,44,20,-10 dB,art pop; pop
2024,16,Please Please Please,Sabrina Carpenter,Sabrina Carpenter,https://open.spotify.com/track/2tHwzyyOLoWSFqYNjeVMzj,A Major,3:06,107,59,68,62,26,-6 dB,pop
2024,17,Agora Hills,Doja Cat,Doja Cat,https://open.spotify.com/track/7dJYggqjKo71KI9sLzqCs8,A_ Minor,4:25,123,67,75,39,23,-6 dB,dance pop; pop
2024,18,"Good Luck, Babe!",Chappell Roan,Chappell Roan,https://open.spotify.com/track/0WbMK4wrZ1wFSty9F7FCgu,B Minor,3:38,117,58,70,79,5,-6 dB,indie pop
2024,19,Saturn,SZA,SZA,https://open.spotify.com/track/1bjeWoagtHmUKputLVyDxQ,C# Major,3:06,178,62,41,34,62,-7 dB,pop; r&b; rap
2024,20,Snooze,SZA,SZA,https://open.spotify.com/track/4iZ4pt7kvcaH6Yo8UoZ4s2,F Major,3:22,143,55,56,39,14,-7 dB,pop; r&b; rap
2024,21,Paint the Town Red,Doja Cat,Doja Cat,https://open.spotify.com/track/56y1jOTK0XSvJzVv9vHQBK,D Minor,3:50,100,56,86,73,26,-8 dB,dance pop; pop
2024,22,Fortnight,Taylor Swift featuring Post Malone,"Taylor Swift, Post Malone",https://open.spotify.com/track/2OzhQlSqBEmt7hmkYxfT6m,B Major,3:49,192,39,50,28,50,-11 dB,pop; dfw rap; melodic rap; pop; rap
2024,23,Fast Car,Luke Combs,Luke Combs,https://open.spotify.com/track/1Lo0QY9cvc8sUB2vnIOxDT,A_ Major,4:25,98,60,71,67,19,-6 dB,contemporary country; country
2024,24,Water,Tyla,Tyla,https://open.spotify.com/track/5aIVCx5tnk0ntmdiinnYvw,E_ Minor,3:20,117,72,67,52,9,-3 dB,No genre found
2024,25,Feather,Sabrina Carpenter,Sabrina Carpenter,https://open.spotify.com/track/2Zo1PcszsT9WQ0ANntJbID,F# Minor,3:06,124,69,79,83,7,-4 dB,pop
2024,26,We Can't Be Friends (Wait for Your Love),Ariana Grande,Ariana Grande,https://open.spotify.com/track/51ZQ1vr10ffzbwIjDCwqm4,F Major,3:49,116,65,65,30,6,-8 dB,pop
2024,27,Austin,Dasha,Dasha,https://open.spotify.com/track/2uqYupMHANxnwgeiXTZXzd,C Major,2:52,115,67,76,74,46,-7 dB,No genre found
2024,28,Last Night,Morgan Wallen,Morgan Wallen,https://open.spotify.com/track/7K3BhSpAxZBznislvUMVtn,F# Major,2:44,204,67,49,49,41,-5 dB,contemporary country
2024,29,Cowgirls,Morgan Wallen featuring Ernest,"Morgan Wallen, Ernest",https://open.spotify.com/track/7fveJ3pk1eSfxBdVkzdXZ0,A_ Major,3:02,172,78,62,40,22,-4 dB,contemporary country; modern country pop
2024,30,Pink Skies,Zach Bryan,Zach Bryan,https://open.spotify.com/track/4ZJ4vzLQekI0WntDbanNC7,C Major,3:15,85,49,53,25,19,-7 dB,classic oklahoma country
2024,31,Thinkin' Bout Me,Morgan Wallen,Morgan Wallen,https://open.spotify.com/track/0PAcdVzhPO4gq1Iym9ESnK,E_ Minor,2:57,140,79,66,47,49,-6 dB,contemporary country
2024,32,Texas Hold 'Em,Beyoncé,Beyoncé,https://open.spotify.com/track/0Z7nGFVCLfixWctgePsRk9,D Major,3:53,110,71,73,38,58,-7 dB,pop; r&b
2024,33,Is It Over Now?,Taylor Swift,Taylor Swift,https://open.spotify.com/track/1Iq8oo9XkmmvCQiGOfORiz,C Major,3:49,100,65,60,15,5,-7 dB,pop
2024,34,Miles on It,Marshmello and Kane Brown,"Marshmello, Kane Brown",https://open.spotify.com/track/4pkb8SbRGeHAvdb87v9rpf,F Major,2:48,130,76,63,79,1,-5 dB,brostep; edm; pop; progressive electro house; black americana; contemporary country; country; country road
2024,35,I Can Do It with a Broken Heart,Taylor Swift,Taylor Swift,https://open.spotify.com/track/4q5YezDOIPcoLr8R81x9qy,C Major,3:38,130,75,70,22,12,-8 dB,pop
2024,36,Wild Ones,Jessie Murph and Jelly Roll,"Jessie Murph, Jelly Roll",https://open.spotify.com/track/0kE09o4Jdeu7vqjmkV1YJP,C Major,2:21,136,55,66,31,0,-6 dB,modern country pop; singer-songwriter pop; country rap; modern country pop; nashville hip hop; tennessee hip hop
2024,37,Ain't No Love in Oklahoma,Luke Combs,Luke Combs,https://open.spotify.com/track/6GG4yyk3UATdBfTHVgI8PB,F Major,3:31,142,66,49,28,1,-10 dB,contemporary country; country
2024,38,Carnival,¥$: Ye and Ty Dolla Sign featuring Rich the Kid and Playboi Carti,"¥$: Ye, Ty Dolla Sign, Rich the Kid, Playboi Carti",https://open.spotify.com/track/4OssqCixV2Xsxd43wMIQyS,C# Major,4:24,148,81,59,31,19,-6 dB,chicago rap; hip hop; rap; hip hop; pop rap; r&b; southern hip hop; trap; trap soul; atl hip hop; melodic rap; plugg; rap; trap; atl hip hop; plugg; pluggnb; rage rap; rap
2024,39,Houdini,Eminem,Eminem,https://open.spotify.com/track/2HYFX63wP3otVIvopRS99Z,A Minor,3:47,127,89,94,89,3,-3 dB,detroit hip hop; hip hop; rap
2024,40,Wanna Be,GloRilla and Megan Thee Stallion,"GloRilla, Megan Thee Stallion",https://open.spotify.com/track/7mOC6phfrfz3jfigg1aGsE,C# Major,2:36,135,63,92,41,2,-5 dB,southern hip hop; houston rap; pop; rap; trap queen
2024,41,Slow It Down,Benson Boone,Benson Boone,https://open.spotify.com/track/51eSHglvG1RJXtL3qI5trr,A_ Major,2:42,181,58,43,54,17,-5 dB,singer-songwriter pop
2024,42,Redrum,21 Savage,21 Savage,https://open.spotify.com/track/52eIcoLUM25zbQupAZYoFh,D Major,4:31,172,73,63,24,1,-9 dB,atl hip hop; hip hop; rap
2024,43,Houdini,Dua Lipa,Dua Lipa,https://open.spotify.com/track/6D8y7Bck8h11byRY88Pt2z,A Minor,3:06,117,79,74,87,0,-5 dB,dance pop; pop; uk pop
2024,44,Yeah Glo!,GloRilla,GloRilla,https://open.spotify.com/track/5A8xI7PN4WDe9e61xEdt94,B Minor,2:23,148,66,89,18,2,-5 dB,southern hip hop
2024,45,Rich Baby Daddy,Drake featuring Sexyy Red and SZA,"Drake, Sexyy Red, SZA",https://open.spotify.com/track/2DSy4HfDQoBsPPcRSoeM16,D Major,5:19,146,73,64,14,5,-4 dB,canadian hip hop; canadian pop; hip hop; pop rap; rap; trap queen; pop; r&b; rap
2024,46,What Was I Made For?,Billie Eilish,Billie Eilish,https://open.spotify.com/track/6wf7Yu7cxBSPrRlWeSeK0Q,C Major,3:42,79,8,39,11,95,-18 dB,art pop; pop
2024,47,End of Beginning,Djo,Djo,https://open.spotify.com/track/3qhlB30KknSejmIvZZLjOD,D Major,2:39,80,45,69,91,4,-8 dB,pov: indie; psychedelic pop
2024,48,Lunch,Billie Eilish,Billie Eilish,https://open.spotify.com/track/629DixmZGHc7ILtEntuiWE,B Minor,3:00,125,40,89,95,5,-8 dB,art pop; pop
2024,49,Never Lose Me,Flo Milli,Flo Milli,https://open.spotify.com/track/2x2olWuWXpqjoeE4bO1NFS,C# Major,2:06,122,57,78,7,5,-8 dB,viral rap
2024,50,Lies Lies Lies,Morgan Wallen,Morgan Wallen,https://open.spotify.com/track/7Fzl7QaTu47WyP9R5S5mh5,C# Minor,3:18,81,70,49,38,24,-6 dB,contemporary country
2024,51,Type Shit,"Future, Metro Boomin, Travis Scott, and Playboi Carti","Future, Metro Boomin, Travis Scott, Playboi Carti",https://open.spotify.com/track/15dWsK6pH4OAEKD2aUt1aY,D Major,3:48,145,46,66,17,1,-5 dB,atl hip hop; hip hop; rap; southern hip hop; trap; rap; rap; slap house; atl hip hop; plugg; pluggnb; rage rap; rap
2024,52,Gata Only,FloyyMenor and Cris MJ,"FloyyMenor, Cris MJ",https://open.spotify.com/track/6XjDF6nds4DE2BBbagZol6,A_ Minor,3:42,100,50,79,67,45,-8 dB,reggaeton chileno; mambo chileno; trap latino; urbano chileno; urbano latino
2024,53,Hot to Go!,Chappell Roan,Chappell Roan,https://open.spotify.com/track/4xdBrk0nFZaP54vvZj0yx7,F# Major,3:05,140,76,74,96,2,-5 dB,indie pop
2024,54,All I Want for Christmas Is You,Mariah Carey,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,G Major,4:01,150,63,34,35,16,-7 dB,dance pop; pop; urban contemporary
2024,55,Get It Sexyy,Sexyy Red,Sexyy Red,https://open.spotify.com/track/6UmKnXmG7VmYqFnmSPOfRj,F Minor,2:29,145,64,81,53,10,-6 dB,trap queen
2024,56,Made for Me,Muni Long,Muni Long,https://open.spotify.com/track/0WIv5qV41y6YjjB9V1biuC,G Minor,3:08,120,47,80,7,12,-6 dB,indie r&b
2024,57,Vampire,Olivia Rodrigo,Olivia Rodrigo,https://open.spotify.com/track/1kuGVB7EU95pJObxwvfwKS,F Major,3:40,137,53,48,32,15,-6 dB,pop
2024,58,Whatever She Wants,Bryson Tiller,Bryson Tiller,https://open.spotify.com/track/57wp7VFnV8X0pSVnYArGeJ,A Minor,2:41,96,51,82,44,13,-7 dB,kentucky hip hop; r&b; rap
2024,59,Rockin' Around the Christmas Tree,Brenda Lee,Brenda Lee,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97,A_ Major,2:06,67,47,60,88,62,-9 dB,adult standards; easy listening; lounge; rockabilly
2024,60,Pretty Little Poison,Warren Zeiders,Warren Zeiders,https://open.spotify.com/track/0MIp9iBm1V41ERxkZnmSUG,C# Major,3:38,112,57,49,22,2,-4 dB,modern country pop
